Seen,Title,Alt,Year
FALSE,Repulsion ,,1965
FALSE,Andrei Rublev ,Andrei Rublyov,1966
FALSE,Balthazar ,Au Hasard Balthazar,1966
FALSE,Come Drink With Me ,Da Zui Xia,1966
FALSE,"The Good, the Bad, and the Ugly ","Il Buono, il Brutto, il Cattivo",1966
FALSE,Masculine-Feminine ,"Masculin, Féminin",1966
FALSE,Daisies ,Sedmikrasky,1966
FALSE,Hold Me While I'm Naked ,,1966
FALSE,Who's Afraid of Virginia Woolf? ,,1966
FALSE,Blowup ,,1966
FALSE,Seconds ,,1966
FALSE,Persona ,,1966
FALSE,Two or Three Things I Know About Her , ou 3 Choses Que je Sais D'elle,1967
FALSE,The Red and the White ,"Csillagosok, Katonák",1967
FALSE,"The Fireman's Ball" ,"Horí, Má Panenko",1967
FALSE,The Young Girls of Rochefort ,Les Demoiselles de Rochefort,1967
FALSE,Closely Watched Trains ,Ostre Sledované Vlaky,1967
FALSE,Earth Entranced ,Terra em Transe,1967
FALSE,Report ,,1967
FALSE,Belle de Jour ,,1967
FALSE,Cool Hand Luke ,,1967
FALSE,Playtime ,,1967
FALSE,The Graduate ,,1967
FALSE,Point Blank ,,1967
FALSE,Week End ,,1967
FALSE,The Godson ,,1967
FALSE,Wavelength ,,1967
FALSE,In the Heat of the Night ,,1967
FALSE,Marketa Lazarová ,,1967
FALSE,The Jungle Book ,,1967
FALSE,Bonnie and Clyde ,,1967
FALSE,Viy ,,1967
FALSE,Hombre ,,1967
FALSE,Once Upon a Time in the West ,C'era una Volta il West,1968
FALSE,Memories of Underdevelopment ,Memorias del Subdesarrollo,1968
FALSE,The Color of Pomengranates ,Sayat Nova,1968
FALSE,Shame ,Skammen,1968
FALSE,Hour of the Wolf ,Vargtimmen,1968
FALSE,Faces ,,1968
FALSE,Planet of the Apes ,,1968
FALSE,Rosemary's Baby ,,1968
FALSE,If... ,,1968
FALSE,David Holzman's Diary ,,1968
FALSE,High School ,,1968
FALSE,2001: A Space Odyssey ,,1968
FALSE,Night of the Living Dead ,,1968
FALSE,Targets ,,1968
FALSE,The Producers ,,1968
FALSE,The Cow ,Gaav,1969
FALSE,A Touch of Zen ,Hsia Nu,1971
FALSE,My Night at Maud's ,Ma Nuit Chez Maud,1969
FALSE,Z ,,1969
FALSE,Fellini Satyricon ,,1969
FALSE,Midnight Cowboy ,,1969
FALSE,Butch Cassidy and the Sundance Kid ,,1969
FALSE,Easy Rider ,,1969
FALSE,Kes ,,1969
FALSE,Lucía ,,1969
FALSE,In the Year of the Pig ,,1969
FALSE,The Wild Bunch ,,1969
FALSE,The Conformist ,Il Conformista,1970
FALSE,The Garden of the Finzi-Continis ,Il Giardino dei Finzi-Contini,1970
FALSE,The Bird with the Crystal Plumage ,L'uccello Dalle Piume de Cristallo,1970
FALSE,The Spider's Stratagem ,La Strategia del Ragno,1970
FALSE,The Butcher ,Le Boucher,1970
FALSE,The Ear ,Ucho,1970
FALSE,Tristana ,,1970
FALSE,El Topo ,,1970
FALSE,Five Easy Pieces ,,1970
FALSE,Deep End ,,1970
FALSE,Little Big Man ,,1970
FALSE,Patton ,,1970
FALSE,M*A*S*H ,,1970
FALSE,Zabriskie Point ,,1970
FALSE,Performance ,,1970
FALSE,Woodstock ,,1970
FALSE,Gimme Shelter ,,1970
FALSE,Murmur of the Heart ,Le Souffle au Coeur,1971
FALSE,W.R.: Mysteries of the Organism ,W.R.: Misterije Organizma,1971
FALSE,Dirty Harry ,,1971
FALSE,A Clockwork Orange ,,1971
FALSE,McCabe and Mrs. Miller ,,1971
FALSE,The Sorrow and the Pity ,,1971
FALSE,Willy Wonka and the Chocolate Factory ,,1971
FALSE,The Devils ,,1971
FALSE,The Hired Hand ,,1971
FALSE,Walkabout ,,1971
FALSE,Klute ,,1971
FALSE,Harold and Maude ,,1971
FALSE,The French Connection ,,1971
FALSE,Get Carter ,,1971
FALSE,Shaft ,,1971
FALSE,Sweet Sweetback's Baadasssss Song ,,1971
FALSE,The Last Picture Show ,,1971
FALSE,Wanda ,,1971
FALSE,Straw Dogs ,,1971
FALSE,Two-Lane Blacktop ,,1971
FALSE,Wake in Fright ,,1971
FALSE,"Aguirre, the Wrath of God ","Aguirre, der Zorn Gottes",1972
FALSE,The Bitter Tears of Petra Von Kant ,Die Bitteren Tränen der Petra Von Kant,1972
FALSE,The Discreet Charm of the Bourgeoisie ,Le Charme Discret de la Bourgeoisie,1972
FALSE,Red Psalm ,Még Kér a Nép,1972
FALSE,Solaris ,Solyaris,1972
FALSE,Last Tango in Paris ,Ultimo Tango a Parigi,1972
FALSE,Cries and Whispers ,Viskingar och Rop,1972
FALSE,Deliverance ,,1972
TRUE,Cabaret ,,1972
FALSE,The Godfather ,,1972
FALSE,Fat City ,,1972
FALSE,The Heartbreak Kid ,,1972
FALSE,Frenzy ,,1972
FALSE,Pink Flamingoes ,,1972
FALSE,Sleuth ,,1972
FALSE,Superfly ,,1972
FALSE,The Spirit of the Beehive ,El Espíritu de la Colmena,1973
FALSE,The Mother and the Whore ,La Maman et la Putain,1973
FALSE,Day for Night ,La Nuit Américaine,1973
FALSE,Fantastic Planet ,La Planéte Sauvage,1973
FALSE,Turkish Delight ,Turks Fruit,1973
FALSE,F for Fake ,Vérités et Mensonges,1973
FALSE,The Sting ,,1973
FALSE,High Plains Drifter ,,1973
FALSE,Badlands ,,1973
FALSE,American Graffiti ,,1973
FALSE,Papillon ,,1973
FALSE,The Long Goodbye ,,1973
FALSE,The Wicker Man ,,1973
FALSE,Enter the Dragon ,,1973
FALSE,Serpico ,,1973
FALSE,Don't Look Now ,,1973
FALSE,Mean Streets ,,1973
FALSE,Sleeper ,,1973
FALSE,The Exorcist ,,1973
FALSE,Pat Garrett and Billy the Kid ,,1973
FALSE,The Harder They Come ,,1973
FALSE,Amarcord ,,1973
FALSE,Ali: Fear Eats the Soul ,Angst Essen Seele Auf,1974
FALSE,Celine and Julie Go Boating ,Céline et Julie Vont en Bateau,1974
FALSE,The Mirror ,Zerkalo,1974
FALSE,The Towering Inferno ,,1974
FALSE,Bring Me the Head of Alfredo Garcia ,,1974
FALSE,The Godfather: Part II ,,1974
FALSE,The Conversation ,,1974
FALSE,Chinatown ,,1974
FALSE,A Woman Under the Influence ,,1974
FALSE,Young Frankenstein ,,1974
FALSE,The Texas Chain Saw Massacre ,,1974
FALSE,Blazing Saddles ,,1974
FALSE,Cria! ,Cría Cuervos,1975
FALSE,The Wall ,Deewaar,1975
FALSE,Fox and his Friends ,Faustrecht der Freiheit,1975
FALSE,Manila in the Claws of Brightness ,Maynila: sa Mga Kuko Ng Liwanag,1975
FALSE,The Travelling Players ,O Thiassos,1975
FALSE,"Salo, or the 120 Days of Sodom ",Salò o le Centoventi Giornate di Sodoma,1975
FALSE,Dersu Uzala ,,1975
FALSE,Barry Lyndon ,,1975
FALSE,The Rocky Horror Picture Show ,,1975
FALSE,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles ",,1975
FALSE,Monty Python and the Holy Grail ,,1975
FALSE,Dog Day Afternoon ,,1975
FALSE,One Flew Over the Cuckoo's Nest ,,1975
FALSE,Nashville ,,1975
FALSE,Picnic at Hanging Rock ,,1975
FALSE,India Song ,,1975
FALSE,Jaws ,,1975
FALSE,In the Realm of the Senses ,Ai no Corrida,1976
FALSE,1900,Novecento,1976
FALSE,The Man Who Fell to Earth ,,1976
FALSE,All the President's Men ,,1976
FALSE,The Outlaw Josey Wales ,,1976
FALSE,The Killing of a Chinese Bookie ,,1976
FALSE,Network ,,1976
FALSE,Carrie ,,1976
FALSE,Taxi Driver ,,1976
FALSE,Rocky ,,1976
FALSE,Man of Marble ,Czlowiek z Marmuru,1977
FALSE,The American Friend ,Der Amerikanische Freund,1977
