List,Seen,Name,Year,IMDB
1000+ Movies to Watch Before You Die,false,Ashes and Diamonds,1958,tt0052080
1000+ Movies to Watch Before You Die,false,My Uncle,1958,tt0050706
1000+ Movies to Watch Before You Die,false,The Music Room,1958,tt0051792
1000+ Movies to Watch Before You Die,false,Some Like It Hot,1959,tt0053291
1000+ Movies to Watch Before You Die,false,The World of Apu,1959,tt0052572
1000+ Movies to Watch Before You Die,false,Floating Weeds,1959,tt0053390
1000+ Movies to Watch Before You Die,false,Black Orpheus,1959,tt0053146
1000+ Movies to Watch Before You Die,false,Rio Bravo,1959,tt0053221
1000+ Movies to Watch Before You Die,false,Anatomy of a Murder,1959,tt0052561
1000+ Movies to Watch Before You Die,false,Ben-Hur,1959,tt0052618
1000+ Movies to Watch Before You Die,false,Ride Lonesome,1959,tt0053220
1000+ Movies to Watch Before You Die,false,Hiroshima Mon Amour,1959,tt0052893
1000+ Movies to Watch Before You Die,false,Pickpocket,1959,tt0053168
1000+ Movies to Watch Before You Die,false,North by Northwest,1959,tt0053125
1000+ Movies to Watch Before You Die,false,The 400 Blows,1959,tt0053198
1000+ Movies to Watch Before You Die,false,La Dolce Vita,1960,tt0053779
1000+ Movies to Watch Before You Die,false,The Young One,1960,tt0053967
1000+ Movies to Watch Before You Die,false,The Housemaid,1960,tt0150980
1000+ Movies to Watch Before You Die,false,Breathless,1960,tt0053472
1000+ Movies to Watch Before You Die,false,The Hole,1960,tt0054407
1000+ Movies to Watch Before You Die,false,Eyes Without a Face,1960,tt0053459
1000+ Movies to Watch Before You Die,false,The Cloud-Capped Star,1960,tt0054073
1000+ Movies to Watch Before You Die,false,Rocco and His Brothers,1960,tt0054248
1000+ Movies to Watch Before You Die,false,Shoot the Piano Player,1960,tt0054389
1000+ Movies to Watch Before You Die,false,Saturday Night and Sunday Morning,1960,tt0054269
1000+ Movies to Watch Before You Die,false,Black Sunday,1960,tt0054067
1000+ Movies to Watch Before You Die,false,Spartacus,1960,tt0054331
1000+ Movies to Watch Before You Die,false,The Apartment,1960,tt0053604
1000+ Movies to Watch Before You Die,false,Psycho,1960,tt0054215
1000+ Movies to Watch Before You Die,false,Peeping Tom,1960,tt0054167
1000+ Movies to Watch Before You Die,false,Last Year at Marienbad,1961,tt0054632
1000+ Movies to Watch Before You Die,false,Splendor in the Grass,1961,tt0055471
1000+ Movies to Watch Before You Die,false,Viridiana,1961,tt0055601
1000+ Movies to Watch Before You Die,false,Breakfast at Tiffany's,1961,tt0054698
1000+ Movies to Watch Before You Die,false,Lola,1961,tt0055093
1000+ Movies to Watch Before You Die,false,The Exiles,1961,tt0054861
1000+ Movies to Watch Before You Die,false,West Side Story,1961,tt0055614
1000+ Movies to Watch Before You Die,false,The Hustler,1961,tt0054997
1000+ Movies to Watch Before You Die,false,The Ladies Man,1961,tt0055069
1000+ Movies to Watch Before You Die,false,Chronicle of a Summer,1961,tt0054745
1000+ Movies to Watch Before You Die,false,One-Eyed Jacks,1961,tt0055257
